Município,Participação PIB
Engenheiro Caldas (MG),"1,66"
Engenheiro Navarro (MG),"5,47"
Entre Folhas (MG),"1,37"
Entre Rios de Minas (MG),"1,58"
Ervália (MG),"9,99"
Esmeraldas (MG),"0,41"
Espera Feliz (MG),"7,05"
Espinosa (MG),"7,77"
Espírito Santo do Dourado (MG),"0,4"
Estiva (MG),"1,96"
Estrela Dalva (MG),"0,82"
Estrela do Indaiá (MG),"2,61"
Estrela do Sul (MG),"3,84"
Eugenópolis (MG),"3,81"
Ewbank da Câmara (MG),"0,22"
Extrema (MG),"44,52"
Fama (MG),"0,74"
Faria Lemos (MG),"1,1"
Felício dos Santos (MG),"4,69"
São Gonçalo do Rio Preto (MG),"3,1"
Felisburgo (MG),"3,38"
Felixlândia (MG),"7,49"
Fernandes Tourinho (MG),"0,48"
Ferros (MG),"0,37"
Fervedouro (MG),"2,69"
Florestal (MG),"2,81"
Formiga (MG),"34,01"
Formoso (MG),"4,32"
Fortaleza de Minas (MG),"1,37"
Fortuna de Minas (MG),"0,29"
Francisco Badaró (MG),"2,29"
Francisco Dumont (MG),"4,49"
Francisco Sá (MG),"3,23"
Franciscópolis (MG),"2,29"
Frei Gaspar (MG),"1,78"
Frei Inocêncio (MG),"1,59"
Frei Lagonegro (MG),"3,29"
Fronteira (MG),"10,62"
Fronteira dos Vales (MG),"2,38"
Fruta de Leite (MG),"1,52"
Frutal (MG),"28,09"
Funilândia (MG),"0,47"
Galiléia (MG),"1,2"
Gameleiras (MG),"1,22"
Glaucilândia (MG),"0,29"
Goiabeira (MG),"1,73"
Goianá (MG),"0,25"
Gonçalves (MG),"0,31"
Gonzaga (MG),"2,48"
Gouveia (MG),"12,66"
Governador Valadares (MG),"77,91"
Grão Mogol (MG),"71,13"
Grupiara (MG),"0,48"
Guanhães (MG),"35,83"
Guapé (MG),"2,17"
Guaraciaba (MG),"2,68"
Guaraciama (MG),"4,64"
Guaranésia (MG),"6,1"
Guarani (MG),"2,2"
Guarará (MG),"0,23"
Guarda-Mor (MG),"5,52"
Guaxupé (MG),"31,16"
Guidoval (MG),"1,56"
Guimarânia (MG),"2,99"
Guiricema (MG),"1,45"
Gurinhatã (MG),"3,06"
Heliodora (MG),"2,51"
Iapu (MG),"3,73"
Ibertioga (MG),"1,7"
Ibiá (MG),"8,69"
Ibiaí (MG),"2,04"
Ibiracatu (MG),"0,37"
Ibiraci (MG),"8,99"
Ibirité (MG),"1,35"
Ibitiúra de Minas (MG),"0,55"
Ibituruna (MG),"1,64"
Icaraí de Minas (MG),"3,16"
Igarapé (MG),"0,41"
Igaratinga (MG),"2,77"
Iguatama (MG),"16,26"
Ijaci (MG),"10,17"
Ilicínea (MG),"1,48"
Imbé de Minas (MG),"2,14"
Inconfidentes (MG),"0,93"
Indaiabira (MG),"2,81"
Indianópolis (MG),"1,59"
Ingaí (MG),"2,38"
Inhapim (MG),"8,57"
Inhaúma (MG),"0,82"
Inimutaba (MG),"2,42"
Ipaba (MG),"3,82"
Ipanema (MG),"11,95"
Ipatinga (MG),"59,32"
Ipiaçu (MG),"3,1"
Ipuiúna (MG),"0,61"
Iraí de Minas (MG),"3,29"
Itabira (MG),"37,03"
Itabirinha (MG),"13,83"
Itabirito (MG),"43,7"
Itacambira (MG),"5,7"
Itacarambi (MG),"6,42"
Itaguara (MG),4
Itaipé (MG),"2,7"
Itajubá (MG),"63,45"
Itamarandiba (MG),"19,08"
Itamarati de Minas (MG),"1,29"
Itambacuri (MG),"3,6"
Itambé do Mato Dentro (MG),"0,36"
Itamogi (MG),"2,62"
Itamonte (MG),"19,52"
Itanhandu (MG),"7,77"
Itanhomi (MG),"1,6"
Itaobim (MG),"26,68"
Itapagipe (MG),"5,84"
Itapecerica (MG),"9,66"
Itapeva (MG),"2,77"
Itatiaiuçu (MG),"68,87"
Itaú de Minas (MG),"8,94"
Itaúna (MG),"24,39"
Itaverava (MG),"0,42"
Itinga (MG),"8,25"
Itueta (MG),"4,24"
Ituiutaba (MG),"64,36"
Itumirim (MG),"1,88"
Iturama (MG),"22,91"
Itutinga (MG),"3,54"
Jaboticatubas (MG),"1,67"
Jacinto (MG),"5,88"
Jacuí (MG),"1,68"
Jacutinga (MG),"8,04"
Jaguaraçu (MG),"0,37"
Jaíba (MG),"18,12"
Jampruca (MG),"0,87"
Janaúba (MG),"34,22"
Januária (MG),"23,4"
Japaraíba (MG),"1,6"
Japonvar (MG),"0,55"
Jeceaba (MG),"19,4"
Jenipapo de Minas (MG),"2,34"
Jequeri (MG),"4,51"
Jequitaí (MG),"2,31"
Jequitibá (MG),"0,71"
Jequitinhonha (MG),"12,27"
Jesuânia (MG),"1,72"
Joaíma (MG),"7,26"
Joanésia (MG),"0,37"
João Monlevade (MG),12
João Pinheiro (MG),"15,86"
Joaquim Felício (MG),"1,93"
Jordânia (MG),"4,79"
José Gonçalves de Minas (MG),"1,52"
José Raydan (MG),"6,7"
Josenópolis (MG),"5,35"
Nova União (MG),"0,27"
Juatuba (MG),"0,61"
Juiz de Fora (MG),"81,32"
Juramento (MG),"0,37"
Juruaia (MG),"3,04"
Juvenília (MG),"1,86"
Ladainha (MG),"3,28"
Lagamar (MG),"1,78"
Lagoa da Prata (MG),"31,36"
Lagoa dos Patos (MG),"1,06"
Lagoa Dourada (MG),"5,73"
Lagoa Formosa (MG),"5,17"
Lagoa Grande (MG),"2,15"
Lagoa Santa (MG),"0,92"
Lajinha (MG),"5,51"
Lambari (MG),"6,69"
Lamim (MG),"1,27"
Laranjal (MG),"1,84"
Lassance (MG),"3,42"
Lavras (MG),"60,44"
Leandro Ferreira (MG),"0,88"
Leme do Prado (MG),"1,95"
Leopoldina (MG),"21,34"
Liberdade (MG),"6,26"
Lima Duarte (MG),"1,36"
Limeira do Oeste (MG),"5,26"
Lontra (MG),"0,67"
Luisburgo (MG),"1,83"
Luislândia (MG),"0,47"
Luminárias (MG),"3,06"
Luz (MG),"10,37"
Machacalis (MG),"5,47"
Machado (MG),"17,37"
Madre de Deus de Minas (MG),"5,01"
Malacacheta (MG),"5,25"
Mamonas (MG),"1,28"
Manga (MG),"6,91"
Manhuaçu (MG),"45,2"
Manhumirim (MG),"7,77"
Mantena (MG),"48,35"
Maravilhas (MG),"1,31"
Mar de Espanha (MG),"0,91"
Maria da Fé (MG),"3,92"
Mariana (MG),"24,5"
Marilac (MG),"0,61"
Mário Campos (MG),"0,08"
Maripá de Minas (MG),"0,3"
Marliéria (MG),"0,2"
Marmelópolis (MG),"0,83"
Martinho Campos (MG),"7,5"
Martins Soares (MG),"2,97"
Mata Verde (MG),"4,09"
Materlândia (MG),"2,18"
Mateus Leme (MG),"0,46"
Matias Barbosa (MG),"2,52"
Matias Cardoso (MG),"4,5"
Matipó (MG),"5,86"
Mato Verde (MG),"3,36"
Matozinhos (MG),"8,46"
Matutina (MG),"0,89"
Medeiros (MG),"6,85"
Medina (MG),"21,87"
Mendes Pimentel (MG),"7,85"
Mercês (MG),"1,92"
Mesquita (MG),"0,2"
Minas Novas (MG),"10,32"
Minduri (MG),"9,53"
Mirabela (MG),"1,17"
Miradouro (MG),"2,99"
Miraí (MG),"5,73"
Miravânia (MG),"1,33"
Moeda (MG),"0,76"
Moema (MG),"2,41"
Monjolos (MG),"1,25"
Monsenhor Paulo (MG),"1,27"
Montalvânia (MG),"4,69"
Monte Alegre de Minas (MG),"1,37"
Monte Azul (MG),"5,46"
Monte Belo (MG),"4,06"
Monte Carmelo (MG),"17,01"
Monte Formoso (MG),"1,97"
Monte Santo de Minas (MG),"5,37"
Montes Claros (MG),"77,29"
Monte Sião (MG),"4,26"
Montezuma (MG),"2,94"
Morada Nova de Minas (MG),"9,71"
Morro da Garça (MG),"1,36"
Morro do Pilar (MG),"0,45"
Munhoz (MG),"0,42"
Muriaé (MG),"45,55"
Mutum (MG),"17,63"
Muzambinho (MG),"5,95"
Nacip Raydan (MG),"0,39"
Nanuque (MG),"39,33"
Naque (MG),"0,3"
Natalândia (MG),"1,03"
Natércia (MG),"2,17"
Nazareno (MG),"11,09"
Nepomuceno (MG),"12,71"
Ninheira (MG),"4,07"
Nova Belém (MG),"8,46"
Nova Era (MG),"1,07"
Nova Lima (MG),"8,88"
Nova Módica (MG),"0,62"
Nova Ponte (MG),"6,32"
Nova Porteirinha (MG),"2,48"
Nova Resende (MG),"4,28"
Nova Serrana (MG),"12,64"
Novo Cruzeiro (MG),"18,39"
Novo Oriente de Minas (MG),"2,7"
Novorizonte (MG),"2,27"
Olaria (MG),"0,13"
Olhos-d'Água (MG),"12,59"
Olímpio Noronha (MG),"0,73"
Oliveira (MG),"30,48"
Oliveira Fortes (MG),"0,16"
Onça de Pitangui (MG),"1,28"
Oratórios (MG),"1,65"
Orizânia (MG),"2,09"
Ouro Branco (MG),"51,76"
Ouro Fino (MG),"6,57"
Ouro Preto (MG),"31,66"
Ouro Verde de Minas (MG),"1,51"
Padre Carvalho (MG),"5,37"
Padre Paraíso (MG),"11,9"
Paineiras (MG),"1,49"
Pains (MG),"8,16"
Pai Pedro (MG),"1,25"
Paiva (MG),"0,11"
Palma (MG),"1,99"
Palmópolis (MG),"2,85"
Papagaios (MG),"2,1"
Paracatu (MG),"52,94"
Pará de Minas (MG),"79,1"
Paraguaçu (MG),"8,23"
Paraisópolis (MG),"11,43"
Paraopeba (MG),"5,16"
Passabém (MG),"0,24"
Passa Quatro (MG),"7,8"
Passa Tempo (MG),"13,25"
Passa Vinte (MG),"2,45"
Passos (MG),"37,35"
Patis (MG),"0,39"
Patos de Minas (MG),"56,14"
Patrocínio (MG),"40,14"
Patrocínio do Muriaé (MG),"1,99"
Paula Cândido (MG),"3,34"
Paulistas (MG),"2,42"
Pavão (MG),"2,07"
Peçanha (MG),"25,01"
Pedra Azul (MG),"34,7"
Pedra Bonita (MG),"1,33"
Pedra do Anta (MG),"1,41"
Pedra do Indaiá (MG),"1,78"
Pedra Dourada (MG),"0,73"
Pedralva (MG),"3,44"
Pedras de Maria da Cruz (MG),"3,11"
Pedrinópolis (MG),"1,16"
Pedro Leopoldo (MG),"0,82"
Pedro Teixeira (MG),"0,12"
Pequeri (MG),"0,25"
Pequi (MG),"0,48"
Perdigão (MG),"1,09"
Perdizes (MG),"9,22"
Perdões (MG),"22,24"
Periquito (MG),"0,38"
Pescador (MG),"0,5"
Piau (MG),"0,37"
Piedade de Caratinga (MG),"2,98"
Piedade de Ponte Nova (MG),"1,46"
Piedade do Rio Grande (MG),"1,83"
Piedade dos Gerais (MG),"0,89"
Pimenta (MG),"4,33"
Pingo-d'Água (MG),"1,12"
Pintópolis (MG),"2,02"
Piracema (MG),"8,36"
Pirajuba (MG),"4,59"
Piranga (MG),"4,88"
Piranguçu (MG),"1,51"
Piranguinho (MG),"2,63"
Pirapetinga (MG),"12,25"
Pirapora (MG),"51,01"
Piraúba (MG),"2,54"
Pitangui (MG),"14,57"
Piumhi (MG),"35,46"
Planura (MG),"6,52"
Poço Fundo (MG),"5,11"
Poços de Caldas (MG),"59,96"
Pocrane (MG),"4,22"
Pompéu (MG),"20,99"
Ponte Nova (MG),"49,91"
Ponto Chique (MG),"0,37"
Ponto dos Volantes (MG),"6,82"
Porteirinha (MG),"11,24"
Porto Firme (MG),"3,18"
Poté (MG),"3,75"
Pouso Alegre (MG),"34,96"
Pouso Alto (MG),"4,58"
Prados (MG),"3,8"
Prata (MG),"2,34"
Pratápolis (MG),"2,82"
Pratinha (MG),"0,88"
Presidente Bernardes (MG),"1,65"
Presidente Juscelino (MG),"1,31"
Presidente Kubitschek (MG),"2,3"
Presidente Olegário (MG),"5,38"
Alto Jequitibá (MG),"1,73"
Prudente de Morais (MG),"1,14"
Quartel Geral (MG),"1,23"
Queluzito (MG),"0,23"
Raposos (MG),"0,08"
Raul Soares (MG),"9,85"
Recreio (MG),"2,36"
Reduto (MG),"1,67"
Resende Costa (MG),"3,44"
Resplendor (MG),"9,63"
Ressaquinha (MG),"6,12"
Riachinho (MG),"2,79"
Riacho dos Machados (MG),"11,37"
Ribeirão das Neves (MG),"2,19"
Ribeirão Vermelho (MG),"2,16"
Rio Acima (MG),"0,2"
Rio Casca (MG),"5,52"
Rio Doce (MG),"1,21"
Rio do Prado (MG),"2,35"
Rio Espera (MG),"1,45"
Rio Manso (MG),"1,13"
Rio Novo (MG),"0,48"
Rio Paranaíba (MG),"8,28"
Rio Pardo de Minas (MG),"11,14"
Rio Piracicaba (MG),"3,31"
Rio Pomba (MG),"5,28"
Rio Preto (MG),"0,28"
Rio Vermelho (MG),"1,42"
Ritápolis (MG),"1,5"
Rochedo de Minas (MG),"0,46"
Rodeiro (MG),"6,96"
Romaria (MG),"2,96"
Rosário da Limeira (MG),"1,16"
Rubelita (MG),"2,58"
Rubim (MG),"4,99"
Sabará (MG),"1,77"
Sabinópolis (MG),"12,03"
Sacramento (MG),"11,84"
Salinas (MG),"21,52"
Salto da Divisa (MG),"5,9"
Santa Bárbara (MG),"4,03"
Santa Bárbara do Leste (MG),"2,36"
Santa Bárbara do Monte Verde (MG),"0,23"
Santa Bárbara do Tugúrio (MG),"1,16"
Santa Cruz de Minas (MG),"1,72"
Santa Cruz de Salinas (MG),"1,58"
Santa Cruz do Escalvado (MG),"1,79"
Santa Efigênia de Minas (MG),"1,83"
Santa Fé de Minas (MG),"1,06"
Santa Helena de Minas (MG),"2,82"
Santa Juliana (MG),"4,87"
Santa Luzia (MG),"2,23"
Santa Margarida (MG),"4,88"
Santa Maria de Itabira (MG),"0,67"
Santa Maria do Salto (MG),"2,23"
Santa Maria do Suaçuí (MG),"15,82"
Santana da Vargem (MG),"1,35"
Santana de Cataguases (MG),"0,96"
Santana de Pirapama (MG),"0,66"
Santana do Deserto (MG),"0,19"
Santana do Garambéu (MG),"0,65"
Santana do Jacaré (MG),"3,76"
Santana do Manhuaçu (MG),"2,62"
Santana do Paraíso (MG),"2,53"
Santana do Riacho (MG),"0,58"
Santana dos Montes (MG),"0,29"
Santa Rita de Caldas (MG),"1,6"
Santa Rita de Jacutinga (MG),"0,3"
Santa Rita de Minas (MG),"3,21"
Santa Rita de Ibitipoca (MG),"0,25"
Santa Rita do Itueto (MG),"6,21"
Santa Rita do Sapucaí (MG),"36,61"
Santa Rosa da Serra (MG),"0,93"
Santa Vitória (MG),"13,6"
Santo Antônio do Amparo (MG),"9,78"
Santo Antônio do Aventureiro (MG),"1,3"
Santo Antônio do Grama (MG),"1,99"
Santo Antônio do Itambé (MG),"0,45"
Santo Antônio do Jacinto (MG),"5,11"
Santo Antônio do Monte (MG),"4,04"
Santo Antônio do Retiro (MG),"2,28"
Santo Antônio do Rio Abaixo (MG),"0,29"
Santo Hipólito (MG),"1,34"
Santos Dumont (MG),"4,42"
São Bento Abade (MG),"0,5"
São Brás do Suaçuí (MG),"0,47"
São Domingos das Dores (MG),"1,93"
São Domingos do Prata (MG),"0,78"
São Félix de Minas (MG),"4,45"
São Francisco (MG),"18,39"
São Francisco de Paula (MG),"4,15"
São Francisco de Sales (MG),"2,2"
São Francisco do Glória (MG),"1,25"
São Geraldo (MG),"3,35"
São Geraldo da Piedade (MG),"0,47"
São Geraldo do Baixio (MG),"0,53"
São Gonçalo do Abaeté (MG),"2,39"
São Gonçalo do Pará (MG),"1,49"
São Gonçalo do Rio Abaixo (MG),"18,81"
São Gonçalo do Sapucaí (MG),"18,59"
São Gotardo (MG),"10,87"
São João Batista do Glória (MG),"3,31"
São João da Lagoa (MG),"0,43"
São João da Mata (MG),"1,04"
São João da Ponte (MG),"1,92"
São João das Missões (MG),"2,62"
São João del Rei (MG),"49,81"
São João do Manhuaçu (MG),"2,52"
São João do Manteninha (MG),"8,24"
São João do Oriente (MG),"2,16"
São João do Pacuí (MG),"0,32"
São João do Paraíso (MG),"9,19"
São João Evangelista (MG),"9,1"
São João Nepomuceno (MG),"2,03"
São Joaquim de Bicas (MG),"0,46"
São José da Barra (MG),"11,01"
São José da Lapa (MG),"0,26"
São José da Safira (MG),"0,52"
São José da Varginha (MG),"2,25"
São José do Alegre (MG),"1,09"
São José do Divino (MG),"0,56"
São José do Goiabal (MG),"0,17"
São José do Jacuri (MG),"9,25"
São José do Mantimento (MG),"0,61"
São Lourenço (MG),"19,45"
São Miguel do Anta (MG),"2,56"
São Pedro da União (MG),"1,65"
São Pedro dos Ferros (MG),"3,13"
São Pedro do Suaçuí (MG),"7,57"
São Romão (MG),"4,31"
São Roque de Minas (MG),"8,95"
São Sebastião da Bela Vista (MG),"8,34"
São Sebastião da Vargem Alegre (MG),"1,15"
São Sebastião do Anta (MG),"2,21"
São Sebastião do Maranhão (MG),"9,33"
São Sebastião do Oeste (MG),"2,86"
São Sebastião do Paraíso (MG),"24,84"
São Sebastião do Rio Preto (MG),"0,26"
São Sebastião do Rio Verde (MG),"0,59"
São Tiago (MG),"4,08"
São Tomás de Aquino (MG),"2,17"
São Tomé das Letras (MG),"0,76"
São Vicente de Minas (MG),"11,99"
Sapucaí-Mirim (MG),"0,36"
Sardoá (MG),"2,47"
Sarzedo (MG),"0,92"
Setubinha (MG),"2,73"
Sem-Peixe (MG),"0,85"
Senador Amaral (MG),"0,29"
Senador Cortes (MG),"0,15"
Senador Firmino (MG),"1,35"
Senador José Bento (MG),"0,12"
Senador Modestino Gonçalves (MG),"5,87"
Senhora de Oliveira (MG),"1,98"
Senhora do Porto (MG),"1,79"
Senhora dos Remédios (MG),"1,9"
Sericita (MG),"2,44"
Seritinga (MG),"2,63"
Serra Azul de Minas (MG),"0,45"
Serra da Saudade (MG),"0,35"
Serra dos Aimorés (MG),"4,43"
Serra do Salitre (MG),"10,73"
Serrania (MG),"2,04"
Serranópolis de Minas (MG),"1,01"
Serranos (MG),"2,24"
Serro (MG),"2,95"
Sete Lagoas (MG),"71,11"
Silveirânia (MG),"0,44"
Silvianópolis (MG),"2,66"
Simão Pereira (MG),"0,42"
Simonésia (MG),"3,93"
Sobrália (MG),"0,71"
Soledade de Minas (MG),"1,35"
Tabuleiro (MG),"0,83"
Taiobeiras (MG),"17,97"
Taparuba (MG),"1,7"
Tapira (MG),"3,9"
Tapiraí (MG),"1,55"
Taquaraçu de Minas (MG),"0,16"
Tarumirim (MG),"3,99"
Teixeiras (MG),"4,67"
Teófilo Otoni (MG),"65,66"
Timóteo (MG),"18,9"
Tiradentes (MG),"3,41"
Tiros (MG),"3,47"
Tocantins (MG),"4,43"
Tocos do Moji (MG),"0,23"
Toledo (MG),"0,35"
Tombos (MG),"2,25"
Três Corações (MG),"16,46"
Três Marias (MG),"56,54"
Três Pontas (MG),"10,45"
Tumiritinga (MG),"0,87"
Tupaciguara (MG),"1,71"
Turmalina (MG),"13,07"
Turvolândia (MG),"2,63"
Ubá (MG),"45,23"
Ubaí (MG),"0,84"
Ubaporanga (MG),"3,55"
Uberaba (MG),"85,76"
Uberlândia (MG),"78,07"
Umburatiba (MG),"2,15"
Unaí (MG),"59,21"
União de Minas (MG),"1,48"
Uruana de Minas (MG),"1,33"
Urucânia (MG),"5,58"
Urucuia (MG),"5,48"
Vargem Alegre (MG),"1,64"
Vargem Bonita (MG),"2,43"
Vargem Grande do Rio Pardo (MG),"2,2"
Varginha (MG),"45,01"
Varjão de Minas (MG),"2,33"
Várzea da Palma (MG),"18,94"
Varzelândia (MG),"1,34"
Vazante (MG),"8,59"
Verdelândia (MG),"0,83"
Veredinha (MG),"3,92"
Veríssimo (MG),"0,72"
Vermelho Novo (MG),"1,49"
Vespasiano (MG),"1,27"
Viçosa (MG),"44,2"
Vieiras (MG),"0,92"
Mathias Lobato (MG),"0,46"
Virgem da Lapa (MG),"7,32"
Virgínia (MG),"3,48"
Virginópolis (MG),"6,61"
Virgolândia (MG),"0,66"
Visconde do Rio Branco (MG),"17,11"
Volta Grande (MG),"2,69"
Wenceslau Braz (MG),"0,64"
Afonso Cláudio (ES),"16,24"
Águia Branca (ES),"7,61"
Água Doce do Norte (ES),"9,39"
Alegre (ES),"17,92"
Alfredo Chaves (ES),"4,5"
Alto Rio Novo (ES),"1,67"
Anchieta (ES),"56,62"
Apiacá (ES),"1,23"
Aracruz (ES),"33,32"
Atílio Vivácqua (ES),"3,75"
Baixo Guandu (ES),"13,74"
Barra de São Francisco (ES),"59,33"
Boa Esperança (ES),"8,38"
Bom Jesus do Norte (ES),"1,94"
Brejetuba (ES),"8,4"
Cachoeiro de Itapemirim (ES),"63,82"
Cariacica (ES),"13,31"
Castelo (ES),"12,15"
Colatina (ES),"64,8"
Conceição da Barra (ES),"12,34"
Conceição do Castelo (ES),"7,96"
Divino de São Lourenço (ES),"2,57"
Domingos Martins (ES),"27,3"
Dores do Rio Preto (ES),"4,98"
Ecoporanga (ES),"20,94"
Fundão (ES),"2,94"
Governador Lindenberg (ES),"4,95"
Guaçuí (ES),"19,08"
Guarapari (ES),"24,93"
Ibatiba (ES),"14,02"
Ibiraçu (ES),"1,82"
Ibitirama (ES),"5,36"
Iconha (ES),"3,09"
Irupi (ES),"7,36"
Itaguaçu (ES),"9,7"
Itapemirim (ES),"29,89"
Itarana (ES),"7,92"
Iúna (ES),"16,77"
Jaguaré (ES),"19,59"
Jerônimo Monteiro (ES),"1,79"
João Neiva (ES),"4,05"
Laranja da Terra (ES),"5,35"
Linhares (ES),"50,39"
Mantenópolis (ES),"10,34"
Marataízes (ES),"34,66"
Marechal Floriano (ES),"14,73"
Marilândia (ES),"4,63"
Mimoso do Sul (ES),"6,31"
Montanha (ES),"27,8"
Mucurici (ES),"6,55"
Muniz Freire (ES),"11,94"
Muqui (ES),"2,43"
Nova Venécia (ES),"41,43"
Pancas (ES),"5,31"
Pedro Canário (ES),"8,16"
Pinheiros (ES),"58,36"
Piúma (ES),"8,61"
Ponto Belo (ES),"7,28"
Presidente Kennedy (ES),"35,45"
Rio Bananal (ES),"3,3"
Rio Novo do Sul (ES),"2,26"
Santa Leopoldina (ES),"9,83"
Santa Maria de Jetibá (ES),"48,56"
Santa Teresa (ES),"17,18"
São Domingos do Norte (ES),"4,9"
São Gabriel da Palha (ES),"23,57"
São José do Calçado (ES),"2,11"
São Mateus (ES),"59,91"
São Roque do Canaã (ES),"6,82"
Serra (ES),"36,22"
Sooretama (ES),"4,19"
Vargem Alta (ES),"4,47"
Venda Nova do Imigrante (ES),"20,02"
Viana (ES),"4,11"
Vila Pavão (ES),"5,59"
Vila Valério (ES),"13,42"
Vila Velha (ES),"15,84"
Vitória (ES),"30,53"
Angra dos Reis (RJ),"85,13"
Aperibé (RJ),"7,26"
Araruama (RJ),"6,24"
Areal (RJ),"4,44"
Armação dos Búzios (RJ),"4,38"
Arraial do Cabo (RJ),"3,99"
Barra do Piraí (RJ),"44,27"
Barra Mansa (RJ),"12,25"
Belford Roxo (RJ),"1,37"
Bom Jardim (RJ),"11,01"
Bom Jesus do Itabapoana (RJ),"15,37"
Cabo Frio (RJ),"18,22"
Cachoeiras de Macacu (RJ),"41,62"
Cambuci (RJ),"11,68"
Carapebus (RJ),"2,92"
Comendador Levy Gasparian (RJ),"6,27"
Campos dos Goytacazes (RJ),"75,12"
Cantagalo (RJ),"40,58"
Cardoso Moreira (RJ),"0,8"
Carmo (RJ),"27,06"
Casimiro de Abreu (RJ),"19,76"
Conceição de Macabu (RJ),"1,74"
Cordeiro (RJ),22
Duas Barras (RJ),"3,09"
Duque de Caxias (RJ),"8,24"
Engenheiro Paulo de Frontin (RJ),"8,91"
Guapimirim (RJ),"0,21"
Iguaba Grande (RJ),"0,93"
Itaboraí (RJ),"0,87"
Itaguaí (RJ),"56,8"
Italva (RJ),"7,09"
Itaocara (RJ),"18,54"
Itaperuna (RJ),"57,44"
Itatiaia (RJ),"13,09"
Japeri (RJ),"0,24"
Laje do Muriaé (RJ),"3,12"
Macaé (RJ),"71,26"
Macuco (RJ),"10,36"
Magé (RJ),"0,74"
Mangaratiba (RJ),"17,37"
Maricá (RJ),"13,31"
Mendes (RJ),"7,83"
Mesquita (RJ),"0,41"
Miguel Pereira (RJ),"13,85"
Miracema (RJ),"19,31"
Natividade (RJ),"5,49"
Nilópolis (RJ),"0,47"
Niterói (RJ),"10,29"
Nova Friburgo (RJ),"78,46"
Nova Iguaçu (RJ),"2,76"
Paracambi (RJ),"25,47"
Paraíba do Sul (RJ),"13,01"
Paraty (RJ),"14,87"
Paty do Alferes (RJ),15
Petrópolis (RJ),"70,16"
Pinheiral (RJ),"2,76"
Piraí (RJ),"4,65"
Porciúncula (RJ),"7,04"
Porto Real (RJ),"8,06"
Quatis (RJ),"0,58"
Queimados (RJ),"0,68"
Quissamã (RJ),"24,08"
Resende (RJ),"20,42"
Rio Bonito (RJ),"58,38"
Rio Claro (RJ),"0,83"
Rio das Flores (RJ),"4,8"
Rio das Ostras (RJ),"75,18"
Rio de Janeiro (RJ),"55,77"
Santa Maria Madalena (RJ),"32,68"
Santo Antônio de Pádua (RJ),"37,46"
São Francisco de Itabapoana (RJ),"2,39"
São Fidélis (RJ),"1,71"
São Gonçalo (RJ),"3,15"
São João da Barra (RJ),"19,98"
São João de Meriti (RJ),"1,39"
São José de Ubá (RJ),"5,74"
São José do Vale do Rio Preto (RJ),"3,31"
São Pedro da Aldeia (RJ),"4,05"
São Sebastião do Alto (RJ),"33,61"
Sapucaia (RJ),"10,39"
Saquarema (RJ),"62,19"
Seropédica (RJ),"25,83"
Silva Jardim (RJ),"5,06"
Sumidouro (RJ),"7,44"
Tanguá (RJ),"0,11"
Teresópolis (RJ),"26,53"
Trajano de Moraes (RJ),"33,71"
Três Rios (RJ),"65,9"
Valença (RJ),"50,93"
Varre-Sai (RJ),"4,47"
Vassouras (RJ),"28,94"
Volta Redonda (RJ),"37,36"
Adamantina (SP),"26,5"
Adolfo (SP),"0,31"
Aguaí (SP),"16,9"
Águas da Prata (SP),"1,21"
Águas de Lindóia (SP),"6,78"
Águas de Santa Bárbara (SP),"3,07"
Águas de São Pedro (SP),"0,33"
Agudos (SP),"9,47"
Alambari (SP),"1,54"
Alfredo Marcondes (SP),"0,53"
Altair (SP),"0,3"
Altinópolis (SP),"18,2"
Alto Alegre (SP),"1,32"
Alumínio (SP),"4,07"
Álvares Florence (SP),"2,13"
Álvares Machado (SP),"3,12"
Álvaro de Carvalho (SP),"0,4"
Alvinlândia (SP),"0,4"
Americana (SP),"5,98"
Américo Brasiliense (SP),"4,81"
Américo de Campos (SP),"2,18"
Amparo (SP),"59,67"
Analândia (SP),"1,11"
Andradina (SP),"35,27"
Angatuba (SP),"17,49"
Anhembi (SP),"1,96"
Anhumas (SP),"0,46"
Aparecida (SP),"5,72"
Aparecida d'Oeste (SP),"2,78"
Apiaí (SP),"24,37"
Araçariguama (SP),"4,92"
Araçatuba (SP),"73,81"
Araçoiaba da Serra (SP),"1,23"
Aramina (SP),"3,56"
Arandu (SP),"2,75"
Arapeí (SP),"9,58"
Araraquara (SP),"46,69"
Araras (SP),"18,15"
Arco-Íris (SP),"1,25"
Arealva (SP),"0,82"
Areias (SP),"12,22"
Areiópolis (SP),"0,59"
Ariranha (SP),13
Artur Nogueira (SP),"7,63"
Arujá (SP),"9,5"
Aspásia (SP),"0,73"
Assis (SP),"33,09"
Atibaia (SP),"26,65"
Auriflama (SP),"30,61"
Avaí (SP),"1,35"
Avanhandava (SP),"2,32"
Avaré (SP),"46,29"
Bady Bassitt (SP),"1,47"
Balbinos (SP),"0,23"
Bálsamo (SP),"0,74"
Bananal (SP),"45,42"
Barão de Antonina (SP),"0,84"
Barbosa (SP),"1,27"
Bariri (SP),"10,2"
Barra Bonita (SP),"9,53"
Barra do Chapéu (SP),"3,63"
Barra do Turvo (SP),"1,25"
Barretos (SP),"75,51"
Barrinha (SP),"1,04"
Barueri (SP),"28,47"
Bastos (SP),"21,45"
Batatais (SP),"52,77"
Bauru (SP),"60,03"
